Date,ORCL,AMZN,INTC,MSFT,AMD,NVDA,META,GOOG,AVGO,AAPL
2012-05-18,25.610001,10.692500,26.070000,29.270000,6.010000,3.020000,38.230000,14.953949,30.020000,18.942142
2012-05-21,26.260000,10.905500,26.150000,29.750000,6.300000,3.072500,34.029999,15.295419,30.910000,20.045713
2012-05-22,26.360001,10.766500,26.030001,29.760000,6.160000,3.035000,31.000000,14.963912,31.270000,19.891787
2012-05-23,26.680000,10.864000,25.440001,29.110001,6.080000,3.110000,32.000000,15.179603,33.520000,20.377144
2012-05-24,26.120001,10.762000,25.650000,29.070000,6.020000,3.027500,33.029999,15.035145,32.509998,20.190001
2012-05-25,26.139999,10.644500,25.740000,29.059999,6.220000,3.100000,31.910000,14.733027,33.150002,20.081785
2012-05-29,26.459999,10.737500,26.090000,29.559999,6.460000,3.180000,28.840000,14.803015,34.450001,20.438213
2012-05-30,26.170000,10.461500,26.129999,29.340000,6.150000,3.142500,28.190001,14.650835,33.060001,20.684643
2012-05-31,26.469999,10.645500,25.840000,29.190001,6.080000,3.107500,29.600000,14.467273,33.099998,20.633215
2012-06-01,26.000000,10.411000,25.139999,28.450001,5.730000,2.995000,27.719999,14.221195,30.980000,20.035357
2012-06-04,26.200001,10.728500,25.040001,28.549999,5.630000,2.932500,26.900000,14.410735,30.530001,20.153214
2012-06-05,26.709999,10.660500,25.430000,28.510000,5.830000,3.017500,25.870001,14.206999,31.410000,20.101070
2012-06-06,27.530001,10.882000,26.070000,29.350000,6.020000,3.097500,26.809999,14.460050,32.970001,20.409286
2012-06-07,27.180000,10.940000,25.940001,29.230000,5.760000,2.972500,26.309999,14.401769,32.950001,20.418571
2012-06-08,27.160000,10.924000,26.410000,29.650000,5.910000,3.030000,27.100000,14.457061,33.840000,20.725714
2012-06-11,26.809999,10.825000,25.990000,28.900000,5.690000,3.065000,27.010000,14.159427,33.240002,20.398930
2012-06-12,27.030001,10.821000,26.520000,29.290001,5.910000,3.127500,27.400000,14.074744,33.919998,20.577143
2012-06-13,27.020000,10.736500,26.540001,29.129999,5.760000,3.045000,27.270000,13.974869,34.040001,20.434286
2012-06-14,26.910000,10.722500,26.980000,29.340000,5.760000,3.007500,28.290001,13.924059,33.310001,20.411785
2012-06-15,27.700001,10.917500,27.340000,30.020000,5.870000,3.072500,30.010000,14.060049,34.070000,20.504642
2012-06-18,27.120001,11.133000,27.420000,29.840000,5.930000,3.100000,31.410000,14.217958,34.759998,20.920713
2012-06-19,27.959999,11.201500,27.510000,30.700001,5.810000,3.310000,31.910000,14.483961,34.700001,20.978930
2012-06-20,28.490000,11.151000,27.639999,30.930000,6.060000,3.362500,31.600000,14.383836,35.270000,20.919287
2012-06-21,27.809999,11.028500,26.709999,30.139999,5.720000,3.210000,31.840000,14.077484,34.480000,20.631071
2012-06-22,28.000000,11.108000,26.940001,30.700001,5.730000,3.250000,33.049999,14.233649,34.799999,20.789286
2012-06-25,27.620001,11.003500,26.049999,29.870001,5.410000,3.147500,32.060001,13.965155,34.209999,20.384644
2012-06-26,27.830000,11.280500,26.010000,30.020000,5.440000,3.182500,33.099998,14.064284,34.389999,20.429644
2012-06-27,28.170000,11.281000,26.219999,30.170000,5.500000,3.285000,32.230000,14.179352,34.900002,20.517857
2012-06-28,28.170000,11.065500,25.830000,29.910000,5.410000,3.310000,31.360001,14.055068,34.310001,20.323214
2012-06-29,29.700001,11.417500,26.650000,30.590000,5.730000,3.455000,31.100000,14.447597,35.900002,20.857143
2012-07-02,29.799999,11.466000,26.670000,30.559999,5.750000,3.362500,30.770000,14.457560,35.490002,21.161428
2012-07-03,29.969999,11.476500,26.860001,30.760000,6.030000,3.450000,31.200001,14.640872,35.740002,21.407499
